date,location,new_cases,total_deaths
13/02/2020,Africa,0,
14/02/2020,Africa,1,
15/02/2020,Africa,0,
16/02/2020,Africa,0,
17/02/2020,Africa,0,
18/02/2020,Africa,0,
19/02/2020,Africa,0,
20/02/2020,Africa,0,
21/02/2020,Africa,0,
22/02/2020,Africa,0,
23/02/2020,Africa,0,
24/02/2020,Africa,0,
25/02/2020,Africa,1,
26/02/2020,Africa,0,
27/02/2020,Africa,0,
28/02/2020,Africa,1,
29/02/2020,Africa,0,
01/03/2020,Africa,1,
02/03/2020,Africa,4,
03/03/2020,Africa,3,
04/03/2020,Africa,10,
05/03/2020,Africa,3,
06/03/2020,Africa,19,
07/03/2020,Africa,0,
08/03/2020,Africa,40,1
09/03/2020,Africa,8,1
10/03/2020,Africa,13,2
11/03/2020,Africa,14,2
12/03/2020,Africa,16,3
13/03/2020,Africa,42,6
14/03/2020,Africa,78,7
15/03/2020,Africa,59,8
16/03/2020,Africa,87,8
17/03/2020,Africa,84,11
18/03/2020,Africa,116,17
19/03/2020,Africa,180,20
20/03/2020,Africa,188,26
21/03/2020,Africa,204,36
22/03/2020,Africa,265,48
23/03/2020,Africa,381,57
24/03/2020,Africa,432,64
25/03/2020,Africa,523,73
26/03/2020,Africa,553,91
27/03/2020,Africa,559,115
28/03/2020,Africa,340,134
29/03/2020,Africa,560,152
30/03/2020,Africa,411,173
31/03/2020,Africa,585,200
01/04/2020,Africa,599,234
02/04/2020,Africa,651,287
03/04/2020,Africa,882,331
04/04/2020,Africa,679,383
05/04/2020,Africa,706,444
06/04/2020,Africa,701,487
07/04/2020,Africa,633,533
08/04/2020,Africa,804,574
09/04/2020,Africa,812,627
10/04/2020,Africa,663,693
11/04/2020,Africa,716,742
12/04/2020,Africa,864,788
13/04/2020,Africa,774,834
14/04/2020,Africa,970,873
15/04/2020,Africa,957,910
16/04/2020,Africa,1168,965
17/04/2020,Africa,1406,1016
18/04/2020,Africa,1306,1058
19/04/2020,Africa,1209,1121
20/04/2020,Africa,1158,1159
21/04/2020,Africa,1070,1189
22/04/2020,Africa,1402,1240
23/04/2020,Africa,1438,1297
24/04/2020,Africa,1719,1324
25/04/2020,Africa,1231,1375
26/04/2020,Africa,1534,1423
27/04/2020,Africa,1334,1462
28/04/2020,Africa,1627,1523
29/04/2020,Africa,2013,1588
30/04/2020,Africa,1946,1634
01/05/2020,Africa,1726,1692
02/05/2020,Africa,2228,1759
03/05/2020,Africa,1594,1796
04/05/2020,Africa,2658,1842
05/05/2020,Africa,2038,1908
06/05/2020,Africa,2546,2006
07/05/2020,Africa,2490,2073
08/05/2020,Africa,3624,2154
09/05/2020,Africa,2850,2221
10/05/2020,Africa,2579,2290
11/05/2020,Africa,3066,2344
12/05/2020,Africa,3160,2395
13/05/2020,Africa,2915,2493
14/05/2020,Africa,3119,2562
15/05/2020,Africa,2928,2624
16/05/2020,Africa,3003,2708
17/05/2020,Africa,3313,2759
18/05/2020,Africa,3668,2832
19/05/2020,Africa,3012,2907
20/05/2020,Africa,3792,2990
21/05/2020,Africa,4692,3095
22/05/2020,Africa,3875,3184
23/05/2020,Africa,3862,3257
24/05/2020,Africa,4126,3354
25/05/2020,Africa,4116,3479
26/05/2020,Africa,3712,3591
27/05/2020,Africa,5079,3699
28/05/2020,Africa,4919,3791
29/05/2020,Africa,5748,3922
30/05/2020,Africa,6120,4069
