date,EC,FS,GP,KZN,LP,MP,NC,NW,WC,BUF,CPT,EKU,ETH,JHN,MAN,NMA,TSH,RSA
03/05/2020,88,8,56,62,5,2,1,7,106,12,90,16,60,27,8,32,7,106
10/05/2020,0,0,0,0,0,0,0,0,44,0,40,0,0,0,0,0,0,44
17/05/2020,0,0,0,0,0,0,0,0,307,0,260,0,0,0,0,0,0,307
24/05/2020,0,0,0,0,0,0,0,0,315,0,304,0,0,0,0,0,0,315
31/05/2020,50,0,0,0,0,0,0,0,331,7,358,0,0,0,0,18,0,469
07/06/2020,173,0,30,11,0,0,0,0,466,12,461,9,0,14,0,28,3,798
14/06/2020,464,0,525,146,0,0,0,0,580,47,475,118,15,136,0,127,-4,1716
21/06/2020,718,0,973,282,5,5,0,0,479,136,420,237,24,372,0,214,78,2477
28/06/2020,1100,46,1328,395,8,1,5,29,477,156,414,382,69,488,4,243,138,3398
05/07/2020,1404,155,1722,626,57,143,1,129,487,77,398,509,127,667,46,270,239,4724
12/07/2020,1438,336,2170,1196,230,288,68,271,465,202,350,692,378,760,25,287,322,6462
19/07/2020,1376,489,1862,1545,222,470,106,269,345,184,274,558,524,552,77,212,320,6685
26/07/2020,952,551,1437,1370,283,403,102,236,264,71,202,404,341,418,112,148,318,5599
02/08/2020,599,439,898,1108,145,280,120,175,258,79,228,231,281,202,127,102,244,4021
09/08/2020,383,325,590,668,211,252,104,133,102,48,78,135,101,193,129,56,141,2769
16/08/2020,444,304,406,425,98,121,129,150,236,23,154,101,105,164,133,59,152,2314
23/08/2020,198,245,318,328,103,70,116,30,172,-1,104,101,130,67,76,25,94,1581
30/08/2020,209,124,159,277,76,38,67,12,144,9,72,37,35,22,55,26,58,1105
06/09/2020,103,74,39,40,-5,30,88,-28,172,19,139,-43,-26,-4,64,-9,74,547
13/09/2020,50,51,-52,138,57,10,47,-2,-16,5,-38,18,-34,-52,21,3,21,352
20/09/2020,125,145,13,86,47,47,63,25,-13,2,-14,-4,17,37,47,5,12,551
27/09/2020,113,81,-98,-21,-56,-76,62,-28,65,3,83,-4,-62,-44,43,-10,-30,322
04/10/2020,173,73,23,134,104,25,64,5,68,50,63,-23,-4,26,40,30,24,668
11/10/2020,243,116,100,219,107,115,55,55,66,27,58,-46,26,53,56,36,69,1076
18/10/2020,255,101,77,104,123,97,69,106,-1,29,5,15,-22,60,48,70,20,932
25/10/2020,318,120,-1,74,67,101,39,20,-28,10,-1,-12,-12,5,61,174,43,738
01/11/2020,426,79,-21,196,47,65,71,-5,40,45,18,-34,-62,35,50,238,18,925
08/11/2020,702,53,110,131,224,62,47,-28,140,48,126,31,-11,67,30,325,37,1469
15/11/2020,838,80,101,73,154,55,46,49,107,71,78,-2,-19,82,32,454,33,1503
22/11/2020,1130,-44,-125,100,23,-69,2,-32,38,144,45,-58,-40,45,12,389,-9,1293
29/11/2020,1537,-36,-33,207,29,9,45,-33,278,189,147,1,33,24,10,327,-55,2105
06/12/2020,1873,7,121,610,135,118,55,11,408,244,242,-17,179,51,0,232,46,3338
13/12/2020,2157,6,82,1080,106,74,61,-43,836,238,481,-14,413,56,-3,218,41,4401
20/12/2020,2349,108,634,2210,320,262,106,101,1179,281,751,201,951,267,25,129,189,7267
27/12/2020,2295,180,1263,3322,921,575,126,311,1523,224,989,372,1253,455,69,103,442,10516
03/01/2021,2387,360,1986,4849,1741,955,120,486,1556,204,984,573,1370,620,77,89,652,14441
10/01/2021,2154,431,2114,5029,2616,1467,150,652,1322,135,916,571,1064,644,95,76,620,15935
17/01/2021,1520,473,1771,3956,1994,1301,178,674,977,114,677,495,716,577,108,71,539,12844
24/01/2021,820,273,1040,1953,1208,849,129,425,601,45,421,305,356,384,60,14,297,7298
31/01/2021,487,244,765,1309,688,542,106,261,426,29,347,229,221,226,53,23,185,4828
07/02/2021,403,185,417,753,324,336,101,173,244,45,197,114,164,201,60,35,145,2936
14/02/2021,204,77,497,531,372,332,132,190,188,23,132,116,54,178,34,35,128,2524
21/02/2021,250,138,341,291,240,263,67,86,102,41,102,53,6,127,82,15,103,1778
28/02/2021,203,119,252,365,303,131,60,48,132,3,79,61,45,91,56,45,55,1613
07/03/2021,168,125,233,349,245,252,93,95,111,23,95,47,44,114,69,6,56,1670
14/03/2021,85,140,197,266,108,131,64,32,16,3,62,23,12,98,38,14,48,1040
21/03/2021,101,97,134,256,141,182,64,76,108,17,107,6,35,67,32,2,22,1159
28/03/2021,147,112,221,221,169,129,42,74,33,-2,29,2,-21,62,41,10,63,1147
04/04/2021,179,171,246,240,128,173,136,85,19,38,-24,61,-23,113,32,4,41,1376
11/04/2021,138,134,224,194,120,107,116,197,97,31,57,-15,8,99,58,41,59,1327
18/04/2021,116,245,234,150,193,142,106,136,22,41,-13,3,-26,76,82,11,72,1344
25/04/2021,93,240,266,215,75,81,199,132,12,44,1,36,-3,81,67,-14,23,1315
02/05/2021,103,281,229,183,119,134,210,178,80,4,-5,17,-3,75,94,12,8,1518
09/05/2021,126,320,264,180,98,169,272,213,62,40,-36,23,-33,110,118,21,-9,1705
16/05/2021,43,348,440,147,87,107,241,199,-4,8,-56,54,-13,179,107,0,78,1611
23/05/2021,109,409,499,244,82,178,281,316,139,20,46,-40,6,174,90,-17,117,2258
30/05/2021,107,384,820,347,163,237,307,345,33,-10,-5,75,-6,300,81,-36,107,2743
06/06/2021,97,342,920,238,216,273,256,328,36,-7,22,87,33,369,126,-23,76,2706
13/06/2021,298,251,1349,291,170,242,212,278,32,70,87,200,-56,555,60,16,163,3124
