date,cumulative_cases,recoveries,deaths_daily,cumulative_deaths,active_cases,week_label,week_no,cumulative_tests,tests_daily,cases_daily,perc_positive,test_thousand,weekly_tests,weekly_cases,tests_per_case,seven_day_tests,seven_day_positives,seven_day_average,case_fatality_rate,fatalities_seven_days,fatalities_seven_days_average,public_tests,private_tests,new_public_tests,new_private_tests,7_day_weekly_average,community_sceen_and_test,passive_case_finding,vaccinated_total,vaccinated_daily,non_sisonke_vaccination_total,vaccinated_sisonke,j_and_j,pfizer,pk
05/03/2020,1,0,0,0,1,,0,,,1,,,,,,0,0,,0.00%,0,,0,0,0,0,,,,0,0,,,0,0,1
06/03/2020,1,0,0,0,1,6-12 Mar,1,200,200,0,0.00%,0,,,,0,0,,0.00%,0,,0,0,0,0,,,,0,0,,,0,0,2
07/03/2020,2,0,0,0,2,6-12 Mar,1,241,41,1,2.40%,24,,,,0,0,,0.00%,0,,0,0,0,0,,,,0,0,,,0,0,3
08/03/2020,3,0,0,0,3,6-12 Mar,1,241,0,1,,,,,,0,0,,0.00%,0,,0,0,0,0,,,,0,0,,,0,0,4
09/03/2020,7,0,0,0,7,6-12 Mar,1,241,0,4,,,,,,0,0,,0.00%,0,,0,0,0,0,,,,0,0,,,0,0,5
10/03/2020,7,0,0,0,7,6-12 Mar,1,241,0,0,,,,,,0,0,,0.00%,0,,0,0,0,0,,,,0,0,,,0,0,6
11/03/2020,13,0,0,0,13,6-12 Mar,1,645,404,6,1.50%,15,,,,404,6,1.49%,0.00%,0,0.00%,0,0,0,0,,,,0,0,,,0,0,7
12/03/2020,16,0,0,0,16,6-12 Mar,1,848,203,3,1.50%,15,848,15,57,607,9,1.48%,0.00%,0,0.00%,0,0,0,0,,,,0,0,,,0,0,8
13/03/2020,24,0,0,0,24,13-19 Mar,2,924,76,8,10.50%,105,,,,683,17,2.49%,0.00%,0,0.00%,0,0,0,0,,,,0,0,,,0,0,9
14/03/2020,38,0,0,0,38,13-19 Mar,2,1017,93,14,15.10%,151,,,,776,31,3.99%,0.00%,0,0.00%,0,0,0,0,,,,0,0,,,0,0,10
15/03/2020,51,0,0,0,51,13-19 Mar,2,1476,459,13,2.80%,28,,,,1235,44,3.56%,0.00%,0,0.00%,0,0,0,0,,,,0,0,,,0,0,11
16/03/2020,62,0,0,0,62,13-19 Mar,2,2405,929,11,1.20%,12,,,,2164,55,2.54%,0.00%,0,0.00%,0,0,0,0,,,,0,0,,,0,0,12
17/03/2020,85,0,0,0,85,13-19 Mar,2,2911,506,23,4.50%,45,,,,2670,78,2.92%,0.00%,0,0.00%,0,0,0,0,,,,0,0,,,0,0,13
18/03/2020,116,0,0,0,116,13-19 Mar,2,3070,159,31,19.50%,195,,,,2425,103,4.25%,0.00%,0,0.00%,0,0,0,0,,,,0,0,,,0,0,14
19/03/2020,150,0,0,0,150,13-19 Mar,2,4832,1762,34,1.90%,19,3984,134,30,3984,134,3.36%,0.00%,0,0.00%,0,0,0,0,19,,,0,0,,,0,0,15
20/03/2020,202,0,0,0,202,20-26 Mar,3,6438,1606,52,3.20%,32,,,,5514,178,3.23%,0.00%,0,0.00%,0,0,0,0,25,,,0,0,,,0,0,16
21/03/2020,240,0,0,0,240,20-26 Mar,3,7425,987,38,3.90%,39,,,,6408,202,3.15%,0.00%,0,0.00%,0,0,0,0,29,,,0,0,,,0,0,17
22/03/2020,274,0,0,0,274,20-26 Mar,3,9315,1890,34,1.80%,18,,,,7839,223,2.84%,0.00%,0,0.00%,0,0,0,0,32,,,0,0,,,0,0,18
23/03/2020,402,0,0,0,402,20-26 Mar,3,12815,3500,128,3.70%,37,,,,10410,340,3.27%,0.00%,0,0.00%,0,0,0,0,49,,,0,0,,,0,0,19
