date,reproduction_rate
19/03/2020,2.29
20/03/2020,2.33
21/03/2020,2.38
22/03/2020,2.44
23/03/2020,2.58
24/03/2020,2.54
25/03/2020,2.38
26/03/2020,2.17
27/03/2020,1.88
28/03/2020,1.55
29/03/2020,1.31
30/03/2020,1.08
31/03/2020,0.95
01/04/2020,0.9
02/04/2020,0.9
03/04/2020,0.91
04/04/2020,0.97
05/04/2020,0.97
06/04/2020,0.97
07/04/2020,1.02
08/04/2020,1.09
09/04/2020,1.12
10/04/2020,1.14
11/04/2020,1.21
12/04/2020,1.33
13/04/2020,1.37
14/04/2020,1.4
15/04/2020,1.39
16/04/2020,1.42
17/04/2020,1.49
18/04/2020,1.54
19/04/2020,1.46
20/04/2020,1.44
21/04/2020,1.44
22/04/2020,1.45
23/04/2020,1.47
24/04/2020,1.43
25/04/2020,1.37
26/04/2020,1.37
27/04/2020,1.39
28/04/2020,1.41
29/04/2020,1.45
30/04/2020,1.43
01/05/2020,1.44
02/05/2020,1.47
03/05/2020,1.48
04/05/2020,1.45
05/05/2020,1.41
06/05/2020,1.39
07/05/2020,1.42
08/05/2020,1.48
09/05/2020,1.49
10/05/2020,1.49
11/05/2020,1.5
12/05/2020,1.5
13/05/2020,1.47
14/05/2020,1.43
15/05/2020,1.43
16/05/2020,1.44
17/05/2020,1.44
18/05/2020,1.41
19/05/2020,1.37
20/05/2020,1.34
21/05/2020,1.33
22/05/2020,1.33
23/05/2020,1.34
24/05/2020,1.33
25/05/2020,1.33
26/05/2020,1.34
27/05/2020,1.39
28/05/2020,1.39
29/05/2020,1.41
30/05/2020,1.4
31/05/2020,1.4
01/06/2020,1.4
02/06/2020,1.41
03/06/2020,1.42
04/06/2020,1.46
05/06/2020,1.43
06/06/2020,1.39
07/06/2020,1.36
08/06/2020,1.36
09/06/2020,1.34
10/06/2020,1.33
11/06/2020,1.34
12/06/2020,1.36
13/06/2020,1.37
14/06/2020,1.37
15/06/2020,1.34
16/06/2020,1.31
17/06/2020,1.3
18/06/2020,1.27
19/06/2020,1.28
20/06/2020,1.31
21/06/2020,1.33
22/06/2020,1.34
23/06/2020,1.36
24/06/2020,1.37
25/06/2020,1.37
26/06/2020,1.36
27/06/2020,1.36
28/06/2020,1.36
29/06/2020,1.37
30/06/2020,1.37
01/07/2020,1.37
02/07/2020,1.36
03/07/2020,1.36
04/07/2020,1.35
05/07/2020,1.34
06/07/2020,1.34
07/07/2020,1.33
08/07/2020,1.31
09/07/2020,1.31
10/07/2020,1.29
11/07/2020,1.27
12/07/2020,1.25
13/07/2020,1.23
14/07/2020,1.2
15/07/2020,1.17
16/07/2020,1.13
17/07/2020,1.11
18/07/2020,1.09
19/07/2020,1.07
20/07/2020,1.05
21/07/2020,1.03
22/07/2020,1.02
23/07/2020,1
24/07/2020,0.99
25/07/2020,0.96
26/07/2020,0.94
27/07/2020,0.92
28/07/2020,0.91
29/07/2020,0.9
30/07/2020,0.88
31/07/2020,0.86
01/08/2020,0.83
02/08/2020,0.81
03/08/2020,0.79
04/08/2020,0.78
05/08/2020,0.78
06/08/2020,0.76
07/08/2020,0.74
08/08/2020,0.73
09/08/2020,0.71
10/08/2020,0.68
11/08/2020,0.65
12/08/2020,0.63
13/08/2020,0.64
14/08/2020,0.67
15/08/2020,0.67
16/08/2020,0.68
17/08/2020,0.68
18/08/2020,0.69
19/08/2020,0.69
20/08/2020,0.69
21/08/2020,0.68
22/08/2020,0.69
23/08/2020,0.68
24/08/2020,0.68
25/08/2020,0.68
26/08/2020,0.68
27/08/2020,0.68
28/08/2020,0.68
29/08/2020,0.71
30/08/2020,0.75
31/08/2020,0.77
01/09/2020,0.76
02/09/2020,0.76
03/09/2020,0.75
04/09/2020,0.75
05/09/2020,0.75
06/09/2020,0.76
07/09/2020,0.77
08/09/2020,0.79
09/09/2020,0.81
10/09/2020,0.83
11/09/2020,0.84
12/09/2020,0.85
13/09/2020,0.86
14/09/2020,0.87
15/09/2020,0.89
16/09/2020,0.92
17/09/2020,0.94
18/09/2020,0.95
19/09/2020,0.95
20/09/2020,0.94
21/09/2020,0.93
22/09/2020,0.93
23/09/2020,0.92
24/09/2020,0.9
25/09/2020,0.87
26/09/2020,0.86
27/09/2020,0.89
28/09/2020,0.93
29/09/2020,0.95
30/09/2020,0.98
01/10/2020,1
02/10/2020,1.02
03/10/2020,1.03
04/10/2020,1.04
05/10/2020,1.03
06/10/2020,1.03
07/10/2020,1.04
08/10/2020,1.04
09/10/2020,1.05
10/10/2020,1.08
11/10/2020,1.06
12/10/2020,1.05
13/10/2020,1.04
14/10/2020,1.04
15/10/2020,1.04
16/10/2020,1.05
17/10/2020,1.05
18/10/2020,1.06
19/10/2020,1.06
20/10/2020,1.04
21/10/2020,1.03
22/10/2020,1.02
23/10/2020,1.01
24/10/2020,1
25/10/2020,0.99
26/10/2020,0.98
27/10/2020,0.98
28/10/2020,0.98
29/10/2020,0.98
30/10/2020,0.98
31/10/2020,0.98
01/11/2020,0.97
02/11/2020,0.97
03/11/2020,0.98
04/11/2020,0.99
05/11/2020,1
06/11/2020,1.02
07/11/2020,1.04
08/11/2020,1.07
09/11/2020,1.1
10/11/2020,1.13
11/11/2020,1.14
12/11/2020,1.14
13/11/2020,1.15
14/11/2020,1.15
